symbol,date,price_mult,source
BIOCON,2008-09-11,0.5,yfinance
ERAINFRA,2008-09-17,0.2,heuristic
MMFL,2008-09-26,0.5,heuristic
LT,2008-10-01,0.5,yfinance
GAIL,2008-10-06,0.636364,yfinance
AIAENG,2008-10-13,0.2,yfinance
SOUTHBANK,2008-10-16,0.777778,yfinance
AREVAT&D,2008-10-22,0.2,heuristic
OPTOCIRCUI,2008-11-03,0.636364,yfinance
JINDRILL,2008-11-06,0.5,heuristic
TCS,2009-06-16,0.5,yfinance
BHARTIARTL,2009-07-24,0.5,yfinance
DIVISLAB,2009-07-30,0.5,yfinance
ORIENTABRA,2009-08-12,0.5,heuristic
JINDALSTEL,2009-09-14,0.166667,yfinance
MVL,2009-09-18,0.2,heuristic
NUMERICPW,2009-10-14,0.5,heuristic
REISIXTEN,2009-10-26,0.2,heuristic
EDUCOMP,2009-10-27,0.2,yfinance
IOC,2009-10-29,0.5,yfinance
HBLPOWER,2009-11-24,0.1,heuristic
RELIANCE,2009-11-26,0.5,yfinance
ADANIENT,2009-12-10,0.5,yfinance
JINDALSAW,2009-12-10,0.2,heuristic
JPASSOCIAT,2009-12-17,0.7,yfinance
LITL,2010-01-04,0.1,heuristic
BAJAJELEC,2010-01-28,0.2,heuristic
KRBL,2010-02-10,0.111111,yfinance
PIDILITIND,2010-03-15,0.454545,yfinance
RENUKA,2010-03-15,0.5,yfinance
IPCALAB,2010-03-22,0.2,yfinance
M&M,2010-03-29,0.5,yfinance
CASTROL,2010-04-09,0.5,heuristic
ENGINERSIN,2010-05-06,0.2,heuristic
KABRAEXTRU,2010-05-17,0.5,heuristic
WIPRO,2010-06-15,0.6,yfinance
GENESYS,2010-06-23,0.5,heuristic
KANSAINER,2010-06-23,0.5,yfinance
ORBITCORP,2010-06-29,0.5,heuristic
TATATEA,2010-06-30,0.1,heuristic
TULIP,2010-07-06,0.2,heuristic
NESCO,2010-07-20,0.5,heuristic
EMAMILTD,2010-07-21,0.5,heuristic
ZENSARTECH,2010-07-21,0.5,heuristic
ECLERX,2010-07-23,0.666667,yfinance
PRATIBHA,2010-07-30,0.2,heuristic
ITC,2010-08-03,0.5,yfinance
HCC,2010-08-10,0.5,yfinance
RAINBOWPAP,2010-08-11,0.2,heuristic
SURANAT&P,2010-08-17,0.333333,heuristic
REDINGTON,2010-08-20,0.2,yfinance
LUPIN,2010-08-27,0.2,yfinance
APOLLOHOSP,2010-09-02,0.5,yfinance
KCP,2010-09-02,0.1,heuristic
NRBBEARING,2010-09-03,0.5,heuristic
KABRAEXTRU,2010-09-06,0.5,heuristic
BAJAJ-AUTO,2010-09-08,0.5,yfinance
BRITANNIA,2010-09-08,0.222222,yfinance
DABUR,2010-09-08,0.5,yfinance
TVSMOTOR,2010-09-08,0.5,yfinance
KOTAKBANK,2010-09-13,0.545455,yfinance
ASTRAL,2010-09-15,0.5,yfinance
KARURVYSYA,2010-09-16,0.7,yfinance
BHUSANSTL,2010-09-21,0.2,heuristic
MUNDRAPORT,2010-09-23,0.2,heuristic
SOUTHBANK,2010-09-23,0.1,yfinance
NAUKRI,2010-09-27,0.545455,yfinance
AQUA,2010-10-01,0.1,heuristic
HAVELLS,2010-10-08,0.5,yfinance
PARSVNATH,2010-10-18,0.5,yfinance
SUPREMEIND,2010-10-18,0.2,yfinance
GENUSPOWER,2010-10-22,0.1,heuristic
SAVERA,2010-10-25,0.5,heuristic
SINTEX,2010-10-27,0.5,heuristic
JISLJALEQS,2010-10-29,0.2,yfinance
ARCHIES,2010-11-02,0.2,heuristic
ATLANTA,2010-11-08,0.2,heuristic
SOMANYCERA,2010-11-11,0.2,heuristic
ZEEL,2010-11-11,0.5,yfinance
GREAVESCOT,2010-11-24,0.2,heuristic
SUNPHARMA,2010-11-25,0.2,yfinance
SADBHAV,2010-12-07,0.1,heuristic
ELGIEQUIP,2010-12-14,0.5,heuristic
BALKRISIND,2010-12-20,0.2,yfinance
COROMANDEL,2010-12-23,0.5,yfinance
EIDPARRY,2010-12-23,0.5,yfinance
POLYPLEX,2010-12-23,0.5,heuristic
KEC,2010-12-30,0.2,heuristic
LICHSGFIN,2010-12-30,0.2,yfinance
SHOPERSTOP,2011-01-12,0.5,yfinance
ONGC,2011-02-08,0.25,yfinance
AUROPHARMA,2011-02-10,0.2,yfinance
HINDZINC,2011-03-07,0.1,yfinance
NATIONALUM,2011-03-15,0.222222,yfinance
ONMOBILE,2011-05-03,0.5,yfinance
BAJAJCORP,2011-05-05,0.2,heuristic
CMC,2011-06-08,0.5,heuristic
MANAPPURAM,2011-06-09,0.5,heuristic
TITAN,2011-06-23,0.05,yfinance
RAJPALAYAM,2011-07-13,0.5,heuristic
HDFCBANK,2011-07-14,0.2,yfinance
ASHOKLEY,2011-08-02,0.5,yfinance
PIIND,2011-08-17,0.5,yfinance
CUMMINSIND,2011-09-20,0.7,yfinance
TATAPOWER,2011-09-26,0.1,yfinance
CRISIL,2011-09-28,0.1,yfinance
BHEL,2011-10-03,0.2,yfinance
CARBORUNIV,2011-10-05,0.5,yfinance
VIPIND,2011-10-31,0.2,heuristic
CRONIMET,2011-11-03,0.2,heuristic
MUNJALAU,2011-12-29,0.2,heuristic
PLASTIBLEN,2012-02-29,0.5,heuristic
OIL,2012-03-29,0.375,yfinance
OPTOCIRCUI,2012-03-29,0.818182,yfinance
SUNDARAM,2012-04-13,0.333333,heuristic
NAUKRI,2012-06-22,0.5,yfinance
HERCULES,2012-07-11,0.5,heuristic
GABRIEL,2012-07-12,0.5,heuristic
JYOTHYLAB,2012-07-12,0.5,heuristic
BPCL,2012-07-13,0.5,yfinance
MICROTECH,2012-07-17,0.5,heuristic
AJANTPHARM,2012-08-09,0.5,yfinance
GSFC,2012-09-20,0.2,yfinance
SUNDARMFIN,2012-12-13,0.5,yfinance
M&MFIN,2013-02-15,0.2,yfinance
SPYL,2013-04-10,0.1,heuristic
PIIND,2013-04-12,0.222222,yfinance
ASHOKA,2013-07-03,0.333333,heuristic
BIRLACOT,2013-07-04,0.5,heuristic
ADVANTA,2013-07-05,0.2,heuristic
BIRLACOT,2013-07-05,2.0,heuristic
BIRLACOT,2013-07-09,0.5,heuristic
BIRLACOT,2013-07-10,2.0,heuristic
LT,2013-07-11,0.666667,yfinance
TORNTPHARM,2013-07-23,0.5,yfinance
SUNPHARMA,2013-07-29,0.5,yfinance
ASIANPAINT,2013-07-30,0.1,yfinance
BIRLACOT,2013-08-19,0.5,heuristic
CCL,2013-08-19,0.1,heuristic
BIRLACOT,2013-08-20,2.0,heuristic
BIRLACOT,2013-09-04,0.5,heuristic
ASTRAL,2013-09-05,0.444444,yfinance
BIRLACOT,2013-09-05,2.0,heuristic
BIRLACOT,2013-09-06,0.5,heuristic
CONCOR,2013-09-06,0.666667,yfinance
BIRLACOT,2013-09-10,2.0,heuristic
BIRLACOT,2013-09-12,0.5,heuristic
BIRLACOT,2013-09-13,2.0,heuristic
AJANTPHARM,2013-09-17,0.727273,yfinance
ALEMBICLTD,2013-09-27,0.545455,yfinance
FEDERALBNK,2013-10-17,0.2,yfinance
ASHIANA,2013-10-24,0.2,heuristic
OMAXE,2013-11-11,0.875,yfinance
GODREJPROP,2013-11-21,0.5,yfinance
RELAXO,2013-11-22,0.222222,yfinance
KSCL,2014-01-27,0.2,yfinance
RSYSTEMS,2014-02-26,0.1,heuristic
BIRLACOT,2014-03-11,0.5,heuristic
BIRLACOT,2014-03-12,2.0,heuristic
BIRLACOT,2014-03-13,0.5,heuristic
BIRLACOT,2014-03-18,2.0,heuristic
BIRLACOT,2014-03-19,0.5,heuristic
DCMSHRIRAM,2014-03-19,1.142857,yfinance
BIRLACOT,2014-03-20,2.0,heuristic
BIRLACOT,2014-03-26,0.5,heuristic
BIRLACOT,2014-03-27,2.0,heuristic
BIRLACOT,2014-03-28,0.5,heuristic
BIRLACOT,2014-03-31,2.0,heuristic
GRUH,2014-06-09,0.5,heuristic
LGBBROSLTD,2014-07-04,0.5,heuristic
AXISBANK,2014-07-28,0.2,yfinance
HAVELLS,2014-08-26,0.222222,yfinance
J&KBANK,2014-09-04,0.111111,yfinance
PANAMAPET,2014-09-19,0.2,heuristic
ASTRAL,2014-09-25,0.454545,yfinance
THEBYKE,2014-10-09,0.5,heuristic
SBIN,2014-11-20,0.1,yfinance
SURANASOL,2014-11-25,0.5,heuristic
GODFRYPHLP,2014-11-28,0.2,yfinance
INFY,2014-12-02,0.5,yfinance
ICICIBANK,2014-12-04,0.2,yfinance
PNB,2014-12-18,0.2,yfinance
HATHWAY,2015-01-06,0.2,yfinance
BERGEPAINT,2015-01-08,0.555556,yfinance
BANKBARODA,2015-01-22,0.2,yfinance
TATACOFFEE,2015-01-23,0.1,heuristic
POLYMED,2015-02-02,0.5,heuristic
BIRLACOT,2015-02-11,2.0,heuristic
BIRLACOT,2015-02-18,0.5,heuristic
BIRLACOT,2015-02-19,2.0,heuristic
BIRLACOT,2015-02-23,0.5,heuristic
BIRLACOT,2015-02-24,2.0,heuristic
BIRLACOT,2015-02-27,0.5,heuristic
HIKAL,2015-02-27,0.2,yfinance
BIRLACOT,2015-03-02,2.0,heuristic
BIRLACOT,2015-03-03,0.5,heuristic
BIRLACOT,2015-03-04,2.0,heuristic
PERSISTENT,2015-03-10,0.454545,yfinance
BIRLACOT,2015-03-11,0.5,heuristic
BIRLACOT,2015-03-12,2.0,heuristic
BIRLACOT,2015-03-13,0.5,heuristic
BIRLACOT,2015-03-16,2.0,heuristic
BIRLACOT,2015-03-19,0.5,heuristic
HCLTECH,2015-03-19,0.5,yfinance
TECHM,2015-03-19,0.25,yfinance
AJANTPHARM,2015-03-20,0.363636,yfinance
BIRLACOT,2015-03-20,2.0,heuristic
BIRLACOT,2015-03-23,0.5,heuristic
BIRLACOT,2015-03-24,2.0,heuristic
BIRLACOT,2015-03-25,0.5,heuristic
KANSAINER,2015-03-26,0.1,yfinance
BIRLACOT,2015-03-30,2.0,heuristic
VISESHINFO,2015-03-30,0.5,heuristic
VISESHINFO,2015-03-31,2.0,heuristic
INFY,2015-06-15,0.5,yfinance
BIRLACOT,2015-06-19,0.5,heuristic
BIRLACOT,2015-06-22,2.0,heuristic
BIRLACOT,2015-06-24,0.5,heuristic
BIRLACOT,2015-06-25,2.0,heuristic
RELAXO,2015-07-01,0.5,yfinance
BIRLACOT,2015-07-02,0.5,heuristic
BIRLACOT,2015-07-03,2.0,heuristic
BIRLACOT,2015-07-06,0.5,heuristic
BIRLACOT,2015-07-07,2.0,heuristic
FEDERALBNK,2015-07-08,0.5,yfinance
KOTAKBANK,2015-07-08,0.5,yfinance
BIRLACOT,2015-07-10,0.5,heuristic
MAITHANALL,2015-07-15,0.5,heuristic
BIRLACOT,2015-07-16,2.0,heuristic
BIRLACOT,2015-07-17,0.5,heuristic
AUROPHARMA,2015-07-20,0.5,yfinance
BIRLACOT,2015-07-22,2.0,heuristic
BIRLACOT,2015-07-23,0.5,heuristic
BIRLACOT,2015-07-24,2.0,heuristic
BIRLACOT,2015-07-27,0.5,heuristic
MBLINFRA,2015-07-28,0.5,heuristic
VISESHINFO,2015-07-28,0.5,heuristic
VISESHINFO,2015-07-29,2.0,heuristic
BIRLACOT,2015-07-30,2.0,heuristic
VISESHINFO,2015-07-30,0.5,heuristic
BIRLACOT,2015-07-31,0.5,heuristic
VISESHINFO,2015-07-31,2.0,heuristic
BIRLACOT,2015-08-04,2.0,heuristic
BIRLACOT,2015-08-06,0.5,heuristic
BIRLACOT,2015-08-07,2.0,heuristic
BIRLACOT,2015-08-10,0.5,heuristic
BIRLACOT,2015-08-11,2.0,heuristic
BIRLACOT,2015-08-12,0.5,heuristic
BIRLACOT,2015-08-13,2.0,heuristic
SIGNET,2015-08-17,0.1,heuristic
BIRLACOT,2015-08-18,0.5,heuristic
VISESHINFO,2015-08-20,0.5,heuristic
ITDCEM,2015-08-21,0.1,heuristic
VISESHINFO,2015-08-21,2.0,heuristic
VISESHINFO,2015-08-27,0.5,heuristic
VISESHINFO,2015-08-31,2.0,heuristic
VISESHINFO,2015-09-07,0.5,heuristic
VISESHINFO,2015-09-08,2.0,heuristic
VISESHINFO,2015-09-09,0.5,heuristic
VISESHINFO,2015-09-10,2.0,heuristic
VISESHINFO,2015-09-11,0.5,heuristic
BEL,2015-09-14,0.333333,yfinance
VISESHINFO,2015-09-15,2.0,heuristic
AEGISCHEM,2015-09-16,0.1,heuristic
COLPAL,2015-09-23,0.5,yfinance
DIVISLAB,2015-09-23,0.5,yfinance
VISESHINFO,2015-09-28,0.5,heuristic
VISESHINFO,2015-09-29,2.0,heuristic
VISESHINFO,2015-09-30,0.5,heuristic
VISESHINFO,2015-10-01,2.0,heuristic
BATAINDIA,2015-10-07,0.5,heuristic
VISESHINFO,2015-10-07,0.5,heuristic
SHIVAMAUTO,2015-10-08,0.5,heuristic
VISESHINFO,2015-10-08,2.0,heuristic
LAMBODHARA,2015-10-15,0.5,heuristic
VISESHINFO,2015-10-15,0.5,heuristic
VISESHINFO,2015-10-16,2.0,heuristic
VISESHINFO,2015-10-21,0.5,heuristic
VISESHINFO,2015-10-23,2.0,heuristic
SARLAPOLY,2015-10-29,0.1,heuristic
SHILPAMED,2015-11-06,0.5,heuristic
