symbol,date,price_mult
DRREDDY,2024-10-28,0.2
RELIANCE,2024-10-28,0.5
WIPRO,2024-12-03,0.5
PCJEWELLER,2024-12-16,0.1
MAZDOCK,2024-12-27,0.5
NMDC,2024-12-27,0.33333333
SHRIRAMFIN,2025-01-10,0.2
NAUKRI,2025-05-07,0.2
BSE,2025-05-23,0.33333333
COFORGE,2025-06-04,0.2
BAJFINANCE,2025-06-16,0.5
CONCOR,2025-07-04,0.8
ASHOKLEY,2025-07-16,0.5
MOTHERSON,2025-07-18,0.66666667
NESTLEIND,2025-08-08,0.5
HDFCBANK,2025-08-26,0.5
KARURVYSYA,2025-08-26,0.83333333
PATANJALI,2025-09-11,0.33333333
GODFRYPHLP,2025-09-16,0.33333333
ADANIPOWER,2025-09-22,0.2
PIDILITIND,2025-09-23,0.5
TATAINVEST,2025-10-14,0.1
BEML,2025-11-03,0.5
HDFCAMC,2025-11-26,0.5
LALPATHLAB,2025-12-19,0.5
MCX,2026-01-02,0.2
AIIL,2026-01-13,0.2
KOTAKBANK,2026-01-14,0.2
ECLERX,2026-03-13,0.5
IRB,2026-03-30,0.5
LICI,2026-05-29,0.5
TRENT,2026-05-29,0.66666667
