Date,nifty500,nifty50,nifty100,nifty_midcap
2022-06-01,14082.8818359375,16522.75,16688.94921875,28299.900390625
2022-06-02,14167.931640625,16628.0,16794.75,28491.150390625
2022-06-03,14077.8818359375,16584.30078125,16721.5,28023.349609375
2022-06-06,14054.0810546875,16569.55078125,16701.19921875,27992.650390625
2022-06-07,13935.5810546875,16416.349609375,16550.69921875,27803.94921875
2022-06-08,13886.8818359375,16356.25,16492.19921875,27670.80078125
2022-06-09,13977.0810546875,16478.099609375,16616.400390625,27805.900390625
2022-06-10,13781.7314453125,16201.7998046875,16353.5,27575.80078125
2022-06-13,13416.8828125,15774.400390625,15936.0498046875,26777.80078125
2022-06-14,13388.2822265625,15732.099609375,15905.599609375,26715.650390625
2022-06-15,13380.83203125,15692.150390625,15874.900390625,26809.0
2022-06-16,13089.1826171875,15360.599609375,15543.349609375,26180.349609375
2022-06-17,12994.7333984375,15293.5,15445.7998046875,25877.69921875
2022-06-20,12950.7333984375,15350.150390625,15481.9501953125,25292.900390625
2022-06-21,13241.8828125,15638.7998046875,15793.150390625,26194.400390625
2022-06-22,13047.732421875,15413.2998046875,15555.2998046875,25767.849609375
2022-06-23,13178.7822265625,15556.650390625,15704.7998046875,26079.94921875
2022-06-24,13322.482421875,15699.25,15858.2998046875,26449.05078125
2022-06-27,13444.5322265625,15832.0498046875,15990.2998046875,26713.25
2022-06-28,13464.232421875,15850.2001953125,16008.849609375,26791.0
2022-06-29,13417.83203125,15799.099609375,15952.75,26672.150390625
2022-06-30,13387.5322265625,15780.25,15929.400390625,26452.75
2022-07-01,13394.4326171875,15752.0498046875,15925.9501953125,26587.30078125
2022-07-04,13472.6328125,15835.349609375,16018.150390625,26769.55078125
2022-07-05,13461.83203125,15810.849609375,16001.599609375,26698.099609375
2022-07-06,13631.2822265625,15989.7998046875,16196.25,27204.349609375
2022-07-07,13765.58203125,16132.900390625,16339.099609375,27572.44921875
2022-07-08,13828.2314453125,16220.599609375,16424.0,27649.05078125
2022-07-11,13886.8310546875,16216.0,16465.099609375,27908.05078125
2022-07-12,13778.9814453125,16058.2998046875,16323.5,27782.05078125
2022-07-13,13726.9326171875,15966.650390625,16237.25,27827.849609375
2022-07-14,13702.6328125,15938.650390625,16213.0498046875,27803.5
2022-07-15,13790.181640625,16049.2001953125,16317.2001953125,28017.25
2022-07-18,13984.3818359375,16278.5,16548.150390625,28409.75
2022-07-19,14051.6318359375,16340.5498046875,16614.05078125,28600.94921875
2022-07-20,14164.3818359375,16520.849609375,16773.69921875,28654.400390625
2022-07-21,14271.78125,16605.25,16881.69921875,29049.150390625
2022-07-22,14336.5810546875,16719.44921875,16970.69921875,29047.849609375
2022-07-25,14279.4814453125,16631.0,16892.099609375,29020.75
2022-07-26,14141.431640625,16483.849609375,16733.30078125,28658.75
2022-07-27,14262.53125,16641.80078125,16889.55078125,28976.30078125
2022-07-28,14469.0810546875,16929.599609375,17169.69921875,29219.75
2022-07-29,14665.630859375,17158.25,17400.75,29634.25
2022-08-01,14846.830078125,17340.05078125,17598.80078125,30128.0
2022-08-02,14876.580078125,17345.44921875,17618.25,30228.150390625
2022-08-03,14878.0302734375,17388.150390625,17646.0,30017.650390625
2022-08-04,14892.4306640625,17382.0,17652.94921875,30190.849609375
2022-08-05,14900.380859375,17397.5,17655.5,30258.349609375
2022-08-08,14993.330078125,17525.099609375,17784.80078125,30366.05078125
2022-08-10,14985.7802734375,17534.75,17784.900390625,30318.900390625
2022-08-11,15095.130859375,17659.0,17913.94921875,30583.849609375
2022-08-12,15140.5302734375,17698.150390625,17956.80078125,30806.349609375
2022-08-16,15280.4794921875,17825.25,18107.25,31254.55078125
2022-08-17,15379.029296875,17944.25,18235.55078125,31401.400390625
2022-08-18,15404.5791015625,17956.5,18264.400390625,31460.19921875
2022-08-19,15236.630859375,17758.44921875,18071.099609375,31005.0
2022-08-22,15001.73046875,17490.69921875,17792.44921875,30379.5
2022-08-23,15090.48046875,17577.5,17878.400390625,30734.650390625
2022-08-24,15140.380859375,17604.94921875,17917.30078125,30960.900390625
2022-08-25,15100.630859375,17522.44921875,17847.650390625,30942.900390625
2022-08-26,15147.5302734375,17558.900390625,17893.80078125,31112.94921875
2022-08-29,14972.73046875,17312.900390625,17666.44921875,30853.849609375
2022-08-30,15325.029296875,17759.30078125,18112.400390625,31481.69921875
2022-09-01,15211.1806640625,17542.80078125,17924.30078125,31516.30078125
2022-09-02,15201.580078125,17539.44921875,17916.0,31402.30078125
2022-09-05,15294.3798828125,17665.80078125,18021.650390625,31522.30078125
2022-09-06,15313.029296875,17655.599609375,18031.30078125,31706.05078125
2022-09-07,15319.3798828125,17624.400390625,18008.099609375,31865.55078125
