date,ticker,action,shares,price,value,cost
2024-06-24,BSE,SELL(100DMA),151,830.0321655273438,125334.8569946289,129.53357470394897
2024-06-24,BSE,BUY(replacement),162,830.0321655273438,134465.2108154297,159.13957700006102
2024-06-25,BSE,SELL(100DMA),162,837.5418090820312,135681.77307128906,140.22711246917723
2024-06-25,BSE,BUY(replacement),161,837.5418090820312,134844.23126220703,159.58814769882204
2024-06-26,BSE,SELL(100DMA),161,844.3702392578125,135943.6085205078,140.49771940594482
2024-06-26,BSE,BUY(replacement),163,844.3702392578125,137632.34899902344,162.88788504034423
2024-07-01,BSE,SELL(rotation),163,855.3356323242188,139419.70806884766,144.09026828915404
2024-07-01,BHEL,SELL(rotation),482,301.5126037597656,145329.07501220703,150.19759902511595
2024-07-01,POWERINDIA,SELL(rotation),12,13003.802734375,156045.6328125,161.27316151171874
2024-07-01,IRFC,BUY,96,165.92478942871094,15928.77978515625,18.851710875732422
2024-07-01,BDL,BUY,87,1602.217529296875,139392.92504882812,164.97152679528807
2024-07-01,HAL,BUY,26,5278.76611328125,137247.9189453125,162.43291207177734
2024-07-01,HINDZINC,BUY,229,609.8215942382812,139649.1450805664,165.27476320285032
2024-08-01,BDL,SELL(rotation),87,1438.5042724609375,125149.87170410156,129.34239240618896
2024-08-01,HAL,SELL(rotation),26,4710.42822265625,122471.1337890625,126.5739167709961
2024-08-01,HINDZINC,SELL(rotation),229,601.325439453125,137703.52563476562,142.3165937435303
2024-08-01,POWERINDIA,BUY,11,12384.2001953125,136226.2021484375,161.22371024267576
2024-08-01,MAZDOCK,BUY,57,2513.2109375,143253.0234375,169.53995323828124
2024-08-30,COCHINSHIP,SELL(100DMA),115,1862.3812255859373,214173.84094238278,221.3486646139526
2024-08-30,COCHINSHIP,BUY(replacement),67,1862.3812255859373,124779.5421142578,147.6765880922241
2024-09-02,COCHINSHIP,SELL(100DMA),67,1827.53515625,122444.85546875,126.54675812695314
2024-09-02,COCHINSHIP,BUY(replacement),68,1827.53515625,124272.390625,147.0763743046875
2024-09-02,IRFC,SELL(rotation),843,172.17604064941406,145144.40226745605,150.00673974341584
2024-09-02,POWERINDIA,SELL(rotation),11,11876.255859375,130638.814453125,135.0152147373047
2024-09-02,GVT&D,BUY,73,1688.5562744140625,123264.60803222656,145.88366360614015
2024-09-02,RVNL,BUY,209,593.8904418945312,124123.10235595703,146.89969163827516
2024-09-02,OIL,BUY,180,690.110107421875,124219.8193359375,147.01415618408203
2024-09-02,MAZDOCK,BUY,3,2066.504638671875,6199.513916015625,7.337124719604492
2024-09-03,COCHINSHIP,SELL(100DMA),68,1857.0013427734373,126276.09130859374,130.50634036743162
2024-09-03,COCHINSHIP,BUY(replacement),67,1857.0013427734373,124419.0899658203,147.24999297454832
2024-09-04,HUDCO,SELL(100DMA),544,252.6531524658203,137443.31494140625,142.04766599194335
2024-09-04,COCHINSHIP,SELL(100DMA),67,1904.0877685546875,127573.88049316406,131.84760548968507
2024-09-04,COCHINSHIP,BUY(replacement),65,1904.0877685546875,123765.70495605469,146.47671181549072
2024-09-04,HUDCO,BUY(replacement),493,252.6531524658203,124558.00416564941,147.41439793004608
2024-09-05,HUDCO,SELL(100DMA),493,248.3869781494141,122454.78022766115,126.5570153652878
2024-09-05,COCHINSHIP,SELL(100DMA),65,1887.6024169921875,122694.15710449219,126.80441136749268
2024-09-05,COCHINSHIP,BUY(replacement),64,1887.6024169921875,120806.5546875,142.97455747265624
2024-09-05,HUDCO,BUY(replacement),493,248.3869781494141,122454.78022766115,144.92523239943696
2024-09-06,HUDCO,SELL(100DMA),493,240.8974456787109,118762.44071960448,122.74098248371124
2024-09-06,COCHINSHIP,SELL(100DMA),64,1837.4066162109373,117594.02343749999,121.53342322265624
2024-09-06,COCHINSHIP,BUY(replacement),64,1837.4066162109373,117594.02343749999,139.17252673828122
2024-09-06,HUDCO,BUY(replacement),494,240.8974456787109,119003.33816528319,140.84045071861266
2024-09-09,HUDCO,SELL(100DMA),494,238.811767578125,117973.01318359375,121.92510912524413
2024-09-09,COCHINSHIP,SELL(100DMA),64,1797.1314697265625,115016.4140625,118.86946393359375
2024-09-09,COCHINSHIP,BUY(replacement),66,1797.1314697265625,118610.67700195312,140.37573623181152
2024-09-09,HUDCO,BUY(replacement),497,238.811767578125,118689.44848632812,140.46896228356934
2024-09-10,HUDCO,SELL(100DMA),497,240.044189453125,119301.96215820312,123.29857789050293
2024-09-10,COCHINSHIP,SELL(100DMA),66,1815.985595703125,119855.04931640625,123.87019346850586
2024-09-10,COCHINSHIP,BUY(replacement),65,1815.985595703125,118039.06372070312,139.69923191345214
2024-09-10,HUDCO,BUY(replacement),497,240.044189453125,119301.96215820312,141.1938722142334
2024-09-11,HUDCO,SELL(100DMA),497,233.17091369628903,115885.94410705565,119.76812323464202
2024-09-11,COCHINSHIP,SELL(100DMA),65,1780.695556640625,115745.21118164062,119.62267575622559
2024-09-11,COCHINSHIP,BUY(replacement),66,1780.695556640625,117525.90673828125,139.09191062475585
2024-09-11,HUDCO,BUY(replacement),504,233.17091369628903,117518.14050292967,139.08271928521725
2024-09-12,HUDCO,SELL(100DMA),504,240.8974456787109,121412.3126220703,125.47962509490966
2024-09-12,COCHINSHIP,SELL(100DMA),66,1789.3330078125,118095.978515625,122.05219379589845
2024-09-12,COCHINSHIP,BUY(replacement),65,1789.3330078125,116306.6455078125,137.6489149584961
2024-09-12,HUDCO,BUY(replacement),490,240.8974456787109,118039.74838256834,139.70004221076962
2024-09-13,HUDCO,SELL(100DMA),490,241.85546875,118509.1796875,122.47923720703126
2024-09-13,COCHINSHIP,SELL(100DMA),65,1793.4296875,116572.9296875,120.47812283203126
2024-09-13,COCHINSHIP,BUY(replacement),65,1793.4296875,116572.9296875,137.96406228515625
2024-09-13,HUDCO,BUY(replacement),488,241.85546875,118025.46875,139.683142265625
2024-09-16,HUDCO,SELL(100DMA),488,236.8737030029297,115594.36706542969,119.46677836212159
2024-09-16,COCHINSHIP,SELL(100DMA),65,1771.21923828125,115129.25048828125,118.98608037963868
2024-09-16,COCHINSHIP,BUY(replacement),66,1771.21923828125,116900.4697265625,138.35170592138672
2024-09-16,HUDCO,BUY(replacement),494,236.8737030029297,117015.60928344727,138.48797358695984
2024-09-17,HUDCO,SELL(100DMA),494,234.81393432617188,115998.0835571289,119.88401935629273
2024-09-17,COCHINSHIP,SELL(100DMA),66,1739.828125,114828.65625,118.675416234375
2024-09-17,COCHINSHIP,BUY(replacement),66,1739.828125,114828.65625,135.89971467187502
2024-09-17,HUDCO,BUY(replacement),495,234.81393432617188,116232.89749145508,137.5616341811371
2024-09-18,HUDCO,SELL(100DMA),495,230.6944122314453,114193.73405456543,118.01922414539337
2024-09-18,COCHINSHIP,SELL(100DMA),66,1703.50146484375,112431.0966796875,116.19753841845703
2024-09-18,COCHINSHIP,BUY(replacement),67,1703.50146484375,114134.59814453125,135.07829690405273
2024-09-18,HUDCO,BUY(replacement),498,230.6944122314453,114885.81729125977,135.96736476420594
2024-09-19,HUDCO,SELL(100DMA),498,220.82666015625,109971.6767578125,113.65572792919922
2024-09-19,COCHINSHIP,SELL(100DMA),67,1656.661865234375,110996.34497070312,114.71472252722168
2024-09-19,COCHINSHIP,BUY(replacement),67,1656.661865234375,110996.34497070312,131.36417427282714
2024-09-19,HUDCO,BUY(replacement),503,220.82666015625,111075.81005859375,131.4582212043457
2024-09-20,HUDCO,SELL(100DMA),503,240.5142364501953,120978.66093444824,125.03144607575226
2024-09-20,COCHINSHIP,SELL(100DMA),67,1822.303466796875,122094.33227539062,126.18449240661622
2024-09-20,COCHINSHIP,BUY(replacement),63,1822.303466796875,114805.11840820312,135.8718576361084
2024-09-20,HUDCO,BUY(replacement),482,240.5142364501953,115927.86196899414,137.20062464030457
2024-09-23,HUDCO,SELL(100DMA),482,233.233154296875,112418.38037109375,116.18439611352538
2024-09-23,COCHINSHIP,SELL(100DMA),63,1759.247314453125,110832.58081054688,114.54547226770019
2024-09-23,COCHINSHIP,BUY(replacement),65,1759.247314453125,114351.07543945312,135.33449778259276
2024-09-23,HUDCO,BUY(replacement),491,233.233154296875,114517.47875976562,135.5314361121826
2024-09-24,HUDCO,SELL(100DMA),491,232.0835418701172,113953.01905822754,117.77044519667817
2024-09-24,COCHINSHIP,SELL(100DMA),65,1775.703125,115420.703125,119.2872966796875
2024-09-24,COCHINSHIP,BUY(replacement),64,1775.703125,113645.0,134.49885749999999
2024-09-24,HUDCO,BUY(replacement),492,232.0835418701172,114185.10260009766,135.13806892721558
2024-09-25,HUDCO,SELL(100DMA),492,227.00596618652344,111686.93536376953,115.42844769845581
2024-09-25,COCHINSHIP,SELL(100DMA),64,1724.7540283203125,110384.2578125,114.08213044921875
2024-09-25,COCHINSHIP,BUY(replacement),66,1724.7540283203125,113833.76586914062,134.72226190612793
2024-09-25,HUDCO,BUY(replacement),501,227.00596618652344,113729.98905944824,134.59944205185698
2024-09-26,HUDCO,SELL(100DMA),501,224.7545928955078,112602.05104064941,116.37421975051117
2024-09-26,COCHINSHIP,SELL(100DMA),66,1685.0228271484375,111211.50659179688,114.93709206262207
2024-09-26,COCHINSHIP,BUY(replacement),66,1685.0228271484375,111211.50659179688,131.6188180513916
2024-09-26,HUDCO,BUY(replacement),501,224.7545928955078,112602.05104064941,133.26452740660858
2024-09-27,HUDCO,SELL(100DMA),501,228.4430084228516,114449.94721984865,118.28402045171359
2024-09-27,COCHINSHIP,SELL(100DMA),66,1707.062744140625,112666.14111328125,116.44045684057618
2024-09-27,COCHINSHIP,BUY(replacement),67,1707.062744140625,114373.20385742188,135.36068676525878
2024-09-27,HUDCO,BUY(replacement),500,228.4430084228516,114221.5042114258,135.18115023422243
2024-09-30,HUDCO,SELL(100DMA),500,231.6524200439453,115826.21002197266,119.70638805770874
2024-09-30,COCHINSHIP,SELL(100DMA),67,1720.0594482421875,115243.98303222656,119.10465646380615
