top_n,max_per_sector,exit_rank_buffer,dma_exit,regime_dma,min_price,min_avg_value_cr,exit_cutoff,cagr_pct,sharpe,sortino,max_dd_pct,calmar,win_rate,trades,composite
10,3,23,250,150,0,0,33,32.31,1.42,2.111,-19.15,1.687,51.6,1129,2.3961
15,2,18,200,150,100,0,33,28.16,1.389,2.025,-16.34,1.724,52.7,1879,2.3944
15,4,18,250,150,0,0,33,32.66,1.486,2.196,-20.29,1.61,53.8,1736,2.3933
15,2,8,250,150,0,0,23,32.97,1.518,2.264,-20.92,1.576,53.8,2403,2.393
15,2,23,200,200,0,0,38,31.61,1.382,1.885,-18.26,1.731,50.5,1580,2.3917
10,3,13,200,150,0,0,23,32.81,1.438,2.151,-19.75,1.661,51.6,1175,2.389
10,3,18,200,150,0,0,28,32.44,1.42,2.107,-19.35,1.677,51.6,1164,2.3811
15,4,8,200,150,0,0,23,32.51,1.478,2.205,-20.19,1.61,53.8,1948,2.3797
15,4,23,150,150,0,0,38,32.39,1.47,2.176,-20.02,1.618,53.8,1811,2.3794
7,2,8,250,150,0,0,15,32.8,1.374,2.112,-18.97,1.729,50.5,865,2.3764
10,4,18,250,150,0,0,28,32.77,1.433,2.153,-19.76,1.658,51.6,1144,2.3756
12,3,8,200,150,0,0,20,32.72,1.467,2.172,-20.21,1.619,51.6,1546,2.3747
15,3,23,150,150,50,0,38,31.21,1.475,2.174,-19.39,1.609,54.9,1854,2.374
12,4,8,200,150,0,0,20,32.78,1.466,2.174,-20.25,1.619,53.8,1520,2.3729
15,3,23,150,150,0,0,38,32.55,1.495,2.169,-20.52,1.586,54.9,1835,2.372
15,4,8,250,150,0,0,23,32.35,1.47,2.198,-20.07,1.612,53.8,1903,2.3701
15,2,13,200,150,100,0,28,27.27,1.326,1.929,-15.28,1.784,53.8,2031,2.3658
10,2,23,150,150,0,0,33,32.09,1.424,2.176,-19.33,1.66,50.5,1194,2.3638
10,4,13,200,150,0,0,23,33.02,1.442,2.158,-20.17,1.637,51.6,1179,2.3614
12,2,13,200,200,0,0,25,32.89,1.385,1.909,-19.3,1.705,51.6,1268,2.3607
12,3,8,250,150,0,0,20,32.82,1.472,2.173,-20.56,1.597,51.6,1528,2.3504
15,3,23,150,150,100,0,38,27.61,1.342,1.968,-15.78,1.75,52.7,1923,2.3492
7,4,18,200,150,0,0,25,31.82,1.315,2.043,-17.85,1.783,52.7,815,2.3452
7,2,23,250,150,0,0,30,31.78,1.336,2.059,-18.14,1.752,50.5,805,2.3416
7,2,18,250,150,0,0,25,32.63,1.363,2.105,-19.01,1.717,48.4,813,2.3399
8,2,23,250,200,0,0,31,30.8,1.251,1.812,-16.48,1.868,50.5,770,2.3368
15,3,13,150,150,100,0,28,27.58,1.335,1.953,-15.78,1.748,51.6,2005,2.3345
10,2,8,200,200,0,0,18,32.56,1.351,1.931,-18.86,1.726,48.4,1104,2.3324
7,3,8,200,150,0,0,15,31.19,1.312,2.012,-17.58,1.774,52.7,868,2.3274
7,3,13,150,150,0,0,20,31.19,1.284,2.0,-17.23,1.81,50.5,839,2.3243
10,2,8,250,200,0,0,18,32.57,1.356,1.955,-19.01,1.714,48.4,1080,2.3242
8,2,8,100,150,0,0,16,32.93,1.388,2.163,-19.68,1.673,50.5,1414,2.3235
7,2,18,200,150,50,0,25,30.27,1.3,1.977,-16.97,1.784,53.8,803,2.3189
10,4,18,150,150,0,0,28,32.47,1.414,2.124,-19.8,1.639,51.6,1210,2.3188
15,2,18,200,200,100,0,33,26.76,1.245,1.688,-14.37,1.863,48.4,1571,2.3188
10,3,23,200,150,0,0,33,31.84,1.398,2.069,-19.2,1.658,51.6,1138,2.3184
15,4,8,150,150,0,0,23,32.05,1.459,2.178,-20.19,1.588,53.8,2082,2.3168
15,3,8,250,150,0,0,23,33.04,1.507,2.235,-21.5,1.537,53.8,1974,2.3157
15,2,13,200,200,0,0,28,32.7,1.434,1.965,-20.26,1.614,51.6,1756,2.3152
15,2,18,250,150,100,0,33,28.09,1.38,2.021,-16.74,1.678,53.8,1857,2.315
12,2,13,250,200,0,0,25,32.33,1.363,1.88,-19.09,1.693,51.6,1251,2.3078
10,4,23,200,150,0,0,33,32.22,1.406,2.094,-19.63,1.641,51.6,1162,2.3071
12,4,8,250,150,0,0,20,32.62,1.458,2.159,-20.62,1.582,53.8,1506,2.3067
12,2,23,150,200,100,0,35,26.77,1.208,1.646,-14.03,1.909,48.4,1340,2.3063
7,2,8,200,150,0,0,15,32.6,1.353,2.116,-19.13,1.704,51.6,878,2.3047
8,3,13,200,150,0,0,21,31.91,1.355,2.056,-18.82,1.695,50.5,941,2.2972
12,3,8,150,150,0,0,20,32.75,1.466,2.175,-20.9,1.567,51.6,1638,2.2971
10,3,8,200,200,0,0,18,32.94,1.346,1.918,-19.31,1.706,48.4,1071,2.2955
8,4,8,250,150,0,0,16,32.99,1.402,2.145,-20.17,1.636,50.5,979,2.2937
7,3,8,150,150,0,0,15,31.78,1.334,2.063,-18.5,1.718,49.5,894,2.2913
12,2,8,250,200,0,0,20,31.63,1.336,1.854,-18.44,1.715,51.6,1399,2.2906
7,2,18,150,150,0,0,25,32.75,1.355,2.115,-19.38,1.69,48.4,836,2.2895
