Date,AAL,ANTO,AUTO,AV,AZN,BAE,BARC,BATS,BLND,BP,BT-A,CNA,COB,COG,CTEC,DGE,DLG,DPLM,EXPN,FDM,FRES,GKN,GLEN,GSK,HIK,HLMA,HSBA,ICG,IMB,IMI,IPG,JD,LAND,LGEN,LLOY,LXI,MKS,MNG,MONY,NEM,NG,NWG,NXT,OCDO,PRU,QQ,RIO,RR,SAGE,SBRE,SBRY,SDRC,SGRO,SHEL,SN,SPX,SSE,STAN,SVT,TLW,TSCO,ULVR,UU,VMUK,VOD,WEIR,WPP
2016-02-22,12185758,2441192,2916690,6664465,1569952,,20956651.0,1878059,4319844,20966888.0,12673378,16492573,,207,,2662954.0,,110303,1300438,10156,1597448,,79492342.0,5178648,345526,564497,41961657.0,479565,1152492.0,1162886,,3082100,1742441,6768429,142297476,,3708144,,1216816,,3373662,13526611,350481,1177955,2757316,786469,6878322.0,8619266.0,,,6980142,,2397438,6256084,924882.0,76901,1107451,8744671,315792,11355327,12329533,1888283,663461,,48586560,1068313,2034150.0
2016-02-23,11594928,3652669,1718541,11448820,2019594,,37983040.0,2825489,6427209,39008786.0,12474424,13114566,,0,,3143372.0,,658581,1575661,597,1365817,,71793596.0,5970335,347009,525764,31365567.0,526955,2105602.0,1514682,,1903550,2588685,13098881,123837862,,6757655,,1259803,,6314429,17292416,409977,937950,5300434,690842,6703630.0,20206721.0,,,4548014,,1717839,11393753,1383233.0,81290,2429574,16580943,310791,11997679,17116997,1882610,1216942,,52978186,1180640,3598207.0
2016-02-24,14348888,3957563,27943576,10382512,2516217,,40169026.0,2383350,4415107,52554241.0,17580110,16400356,,0,,4955025.0,,70586,1798276,136548,1713987,,72566422.0,8983486,340329,746456,42246827.0,682624,1824067.0,1132387,,2559125,1686719,14983963,131420354,,4273715,,1056910,,5980102,15572391,445137,755291,5161883,1167815,8069495.0,20781022.0,,,4667807,,1777401,19857383,1501486.0,165112,1957222,17438717,454712,11246319,13988854,2439873,1237429,,54532165,3298520,4155039.0
2016-02-25,11820267,2749837,10268177,8679416,2736926,,53040842.0,3011363,6571157,36265694.0,28306104,11202543,,0,,4190995.0,,64693,1986271,11919,1412831,,63443037.0,9124715,518680,826459,33555107.0,662705,2918164.0,1273760,,2358125,1972410,12619335,366769885,,4972503,,1551531,,6204103,19050597,499145,1899223,5969697,754442,5252100.0,18554997.0,,,3455463,,2293139,10630238,1910646.0,102994,2250148,10174492,305316,10034927,15669461,2034488,824927,,48105857,2980482,3830831.0
2016-02-26,13706403,3375950,5261726,11899275,2172076,,55463331.0,2710402,7816790,40426721.0,18227406,13195121,,0,,3485076.0,,67049,1700338,3081,1097040,,84216948.0,6920888,421863,540800,28410880.0,439964,1869722.0,1964572,,2067600,2257596,11806929,174266595,,3646847,,971053,,5637944,46594011,502286,2053767,7440094,657204,5380579.0,14668384.0,,,4299557,,1172910,9320305,1635155.0,73097,2129823,16655712,446785,9328933,15629967,1743213,1226795,,40987128,1993577,2327487.0
2016-02-29,15418875,4056023,15086902,11127727,3624546,,55849036.0,2675630,5394829,41325531.0,18420765,16036254,,0,,4531661.0,,90837,2170396,17866,1734907,,73319758.0,12325329,678076,632172,64824387.0,413208,2493601.0,1054824,,8025700,4103478,16016668,164944060,,4950429,,1192103,,6623638,23365891,483955,4649941,5848695,1232710,5827840.0,21738567.0,,,7580345,,3092950,8083037,1933116.0,98784,2252421,14200269,570962,8414928,24926966,2276302,1566578,,53118241,1605033,2895776.0
2016-03-01,12227227,3105679,4324459,10578284,4140648,,143251124.0,2628150,7520537,29134378.0,16293641,13658766,,0,,4490870.0,,73187,1863260,4339,2363973,,94329592.0,7842993,480371,867307,32225877.0,612285,2259135.0,1327755,,2680025,3748876,20279672,146582931,,4063592,,1181681,,5879577,33199022,696836,5376670,8074670,939451,5191439.0,15991974.0,,,7789201,,2375320,9750139,2601126.0,170569,5013221,9090563,393451,8846589,18496746,1669718,1044554,,44552977,1217071,2901374.0
2016-03-02,12461752,4989947,6745648,11937883,3379397,,83273822.0,3596122,4060662,35522725.0,18196506,13753528,,748,,7026650.0,,68002,1734375,422773,1677343,,77606981.0,12472360,848444,645167,38009755.0,448464,2362516.0,1649374,,2486575,2629662,14986062,115633144,,3762904,,1091731,,6080494,27400675,551950,2586942,8222622,1145548,7097469.0,48370558.0,,,11954182,,2457740,8008519,2269420.0,193383,2195656,12560129,405115,9634062,47240854,2421827,1221338,,33511472,1693457,3162899.0
2016-03-03,16965443,3404891,4876319,7203559,2889501,,68395935.0,2050470,5214804,53825911.0,12019060,24731805,,8311,,3895876.0,,93732,1315279,18360,1730460,,160623120.0,10900345,1012441,671296,38649215.0,559870,3566803.0,1204243,,4056900,2043864,10321145,109002364,,3578346,,971150,,9317373,24440742,427612,1653141,4688981,1080639,8415202.0,34351887.0,,,19721570,,1937163,7949945,1694013.0,199280,6458145,11865245,449342,15610024,21228377,1973481,1004632,,30756925,1418680,4027090.0
2016-03-04,16452252,4398963,4489336,5977429,2752285,,73756344.0,3048947,3391314,36800787.0,19124285,25067331,,15894,,3141014.0,,58232,1453908,17849,2777383,,133983140.0,7685811,836492,547207,43733595.0,717995,3313564.0,1168187,,2766200,1950335,13020282,97930562,,4627527,,1012868,,8409160,20939760,319077,3152143,5195321,1238614,7318754.0,17778387.0,,,5407482,,1709414,8641748,2629100.0,185679,5705611,11201354,400878,16462434,19678761,2022799,2326944,,44649566,1519959,5226631.0
2016-03-07,21123761,4715881,2766239,6582527,1927271,,40593955.0,2134798,5268319,48195426.0,14340763,15240342,,16601,,2326242.0,,77223,1885601,8129,1843037,,134572375.0,5579921,459806,626639,34190567.0,282759,2495157.0,717867,,2697450,2985704,7707154,106192800,,4088273,,851413,,6037554,17541705,371486,1847652,5386978,843831,12486218.0,18965603.0,,,6021304,,1702052,6896078,2386640.0,193889,3156842,11235640,314193,22417781,12977630,1585398,701324,,47790334,1395014,4983550.0
2016-03-08,20341335,5157994,8123639,8195511,2755579,,76553713.0,2197071,4834750,45587032.0,13659918,15718542,,1792,,3176576.0,,58289,1903565,206851,1753599,,136025949.0,9588337,636088,613050,29981101.0,345454,2133281.0,999175,,2329650,3868517,14106003,142440310,,3908049,,4087205,,6845969,19361361,430020,1340749,5881247,1009668,9736352.0,16164006.0,,,5963247,,1086858,7308829,1779036.0,120796,3776342,16556222,389919,15729007,32708807,1681731,1567139,,35030347,1030195,4000838.0
2016-03-09,14850711,3400966,4569888,9661693,1842220,,40560129.0,2881286,3301287,41266100.0,18124933,19826842,,21500,,2944136.0,,145693,1640625,1131877,1514150,,82961844.0,8137865,485311,483811,33933420.0,452433,1889649.0,735276,,2550750,1675290,12221400,128604013,,4842003,,747179,,6001269,18208515,386688,1249049,8433563,867687,6555324.0,25965585.0,,,6251175,,2142872,5689294,2459952.0,102624,4372460,8819541,681555,12770310,17237686,1689799,1523110,,46528690,1049241,3670717.0
2016-03-10,13930581,4704691,6054759,26295337,2806633,,65783785.0,6193424,3734539,44584386.0,15938449,26802369,,6021,,4462590.0,,62273,1837126,175723,1652351,,82033129.0,8891015,566761,1063916,47078203.0,724819,4309834.0,841452,,3363350,3089953,33671705,169304006,,6432654,,899292,,13103931,34658231,500774,1530304,9971188,1227300,6382424.0,18027708.0,,,7852662,,2201173,9727757,3070378.0,178354,3978071,13191179,921252,12499138,34864177,2898037,1977149,,60360637,1531910,4866438.0
2016-03-11,7636555,3106841,2266911,15612146,2368319,,47408631.0,2659240,3434786,36637371.0,12037852,14062714,,0,,3589685.0,,54511,1109644,148452,880670,,71293540.0,6151262,635858,769486,43050416.0,772250,2007062.0,728405,,3516125,2162730,17933215,109499300,,10617279,,736422,,4536605,16809138,270871,1355470,6229663,1066785,5304073.0,8798070.0,,,5988298,,1640164,5113664,1876214.0,134818,2660500,9030733,412012,9056357,14739594,1908079,1415854,,39728527,595996,3761917.0
2016-03-14,12469315,3465415,2363228,14096140,2650544,,37775080.0,2166283,3387547,34796869.0,13389684,15578351,,545,,3535907.0,,42980,1194726,114990,1103486,,74388869.0,7031825,759860,463488,26006701.0,785617,2735952.0,457823,,2961850,2791355,20606693,108051495,,5447219,,523604,,4702905,19512694,300199,1830952,7272395,1416308,4840871.0,15685530.0,,,9019429,,3322248,4895556,1906830.0,103234,2185407,10067459,402298,16495237,13980975,1531241,1383702,,35448305,730803,4179657.0
2016-03-15,13873341,6367985,3124900,9953139,3261796,,36616371.0,2215117,2347860,32097540.0,20713669,16522581,,0,,3063431.0,,80129,1123258,592949,1011932,,68288815.0,7996846,564690,604070,26524312.0,557592,1483279.0,731652,,5774825,2495392,45881064,99306004,,4888189,,2157448,,4627321,21436003,420702,2527256,5559149,1241591,4999395.0,9778686.0,,,12383464,,1835619,4884275,1653981.0,101266,3075182,13466519,399997,17583219,14864533,2021086,1066005,,38088921,1025809,3989445.0
2016-03-16,6834310,4857584,2156451,6879224,3307023,,49488295.0,2380834,3590737,36317190.0,21308915,17575688,,101834,,4426812.0,,98232,1368277,86992,997078,,54447562.0,7623942,1936616,745044,26684784.0,690683,2038122.0,740681,,3246275,3119287,26647063,123553456,,3816132,,6880653,,4728413,18824713,359607,2170072,5340886,1773667,4343370.0,17099702.0,,,9271621,,2225239,4509188,1356049.0,129495,3967565,8138850,591941,12486642,15647110,1393834,1197403,,35630366,1074013,2538773.0
